source,authors,year,title,journal,vol,pages,antag,additive,synerg,review,times.cited
WOS,L. L. Koh,2000,Chemical and physical defenses of Singapore gorgonians (Octocorallia : Gorgonacea),Journal of Experimental Marine Biology and Ecology,251,103-115,0,0,1,0,NA
WOS,S. Macia,2000,The effects of sea urchin grazing and drift algal blooms on a subtropical seagrass bed community,Journal of Experimental Marine Biology and Ecology,246,53-67,0,1,0,0,NA
WOS,J. K. Larsen,2000,Effects of wind turbines and other physical elements on field utilization by pink-footed geese (Anser brachyrhynchus): A landscape perspective,Landscape Ecology,15,755-764,0,0,1,0,NA
WOS,C. A. Rodriguez,2000,"Impact of solar ultraviolet radiation on hatching of a marine copepod, Calanus finmarchicus",Marine Ecology Progress Series,193,85-93,0,0,1,0,NA
WOS,M. P. Lesser,2000,Depth-dependent photoacclimatization to solar ultraviolet radiation in the Caribbean coral Montastraea faveolata,Marine Ecology Progress Series,192,137-151,0,0,1,0,NA
WOS,A. Muela,2000,"The effect of simulated solar radiation on Escherichia coli: The relative roles of UV-B, UV-A, and photosynthetically active radiation",Microbial Ecology,39,65-71,0,0,1,0,NA
WOS,W. F. Laurance,2000,Forest loss and fragmentation in the Amazon: implications for wildlife conservation,Oryx,34,39-45,0,0,1,0,NA
Scopus,"Sala O.E., Chapin III F.S., Armesto J.J., Berlow E., Bloomfield J., Dirzo R., Huber-Sanwald E., Huenneke L.F., Jackson R.B., Kinzig A., Leemans R., Lodge D.M., Mooney H.A., Oesterheld M., Poff N.L., Sykes M.T., Walker B.H., Walker M., Wall D.H.",2000,Global biodiversity scenarios for the year 2100,Science,287,1770-1774,1,1,1,0,NA
WOS,M. Nystrom,2000,Coral reef disturbance and resilience in a human-dominated environment,Trends in Ecology and Evolution,15,413-417,0,0,1,1,NA
Scopus,"Theurillat, J.-P., Guisan, A.",2001,Potential impact of climate change on vegetation in the European alps: A review,Climatic Change,50,77-109,0,0,1,1,NA
WOS,C. A. Peres,2001,Synergistic effects of subsistence hunting and habitat fragmentation on Amazonian forest vertebrates,Conservation Biology,15,1490-1505,0,0,1,0,NA
Scopus,"Carey, C., Heyer, W.R., Wilkinson, J., Alford, R.A., Arntzen, J.W., Halliday, T., Hungerford, L., Lips, K.R., Middleton, E.M., Orchard, S.A., Rand, A.S.",2001,Amphibian declines and environmental change: Use of remote-sensing data to identify environmental correlates,Conservation Biology,15,903-913,0,0,1,1,NA
WOS,K. C. Weathers,2001,"Forest edges as nutrient and pollutant concentrators: Potential synergisms between fragmentation, forest canopies, and the atmosphere",Conservation Biology,15,1506-1514,0,0,1,0,NA
WOS,M. A. Cochrane,2001,Synergistic interactions between habitat fragmentation and fire in evergreen tropical forests,Conservation Biology,15,1515-1521,0,0,1,0,NA
WOS,R. J. Hobbs,2001,"Synergisms among habitat fragmentation, livestock grazing, and biotic invasions in southwestern Australia",Conservation Biology,15,1522-1528,0,0,1,0,NA
WOS,W. F. Laurance,2001,"Positive feedbacks among forest fragmentation, drought, and climate change in the Amazon",Conservation Biology,15,1529-1535,0,0,1,0,NA
WOS,W. F. Laurance,2001,Special section: Synergistic effects in fragmented landscapes,Conservation Biology,15,1488-1489,0,0,1,0,NA
WOS,A. M. Small,2001,"Reef corals, zooxanthellae and free-living algae, a microcosm study that demonstrates synergy between calcification and primary production",Ecological Engineering,16,443-457,0,0,1,0,NA
WOS,Y. Loya,2001,Coral bleaching: the winners and the losers,Ecology Letters,4,122-131,0,0,1,0,NA
WOS,J. Bohac,2001,Epigeic beetles (Insecta : Coleoptera) in montane spruce forests under long-term synergistic chronic effects in the Giant Mountains (Central Europe),Ekologia-Bratislava,20,57-69,0,0,1,0,NA
WOS,P. Cudlin,2001,Retrospective evaluation of the response of montane forest ecosystems to multiple stress,Ekologia-Bratislava,20,108-124,0,0,1,0,NA
Scopus,"Wang, Y., Crocker, R.L., Wilson, L.T., Smart, G., Wei, X., Nailon W.T., Jr., Cobb, P.P.",2001,Effect of nematode and fungal treatments on nontarget turfgrass-inhabiting arthropod and nematode populations,Environmental Entomology,30,196-203,0,0,1,0,NA
WOS,S. Schrader,2001,Impact of cultivation management in an agroecosystem on hot spot effects of earthworm middens,European Journal of Soil Biology,37,309-313,0,0,1,0,NA
Scopus,"Zagarese, H.E., Williamson, C.E.",2001,The implications of solar UV radiation exposure for fish and fisheries,Fish and Fisheries,2,250-260,0,0,1,1,NA
WOS,I. J. Morgan,2001,"The cost of living for freshwater fish in a warmer, more polluted world",Global Change Biology,7,345-355,0,1,1,0,NA
WOS,R. Hojer,2001,Stress synergy between drought and a common environmental contaminant: studies with the collembolan Folsomia candida,Global Change Biology,7,485-494,0,0,1,0,NA
WOS,M. Pahkala,2001,Effects of ultraviolet-B radiation and pH on early development of the moor frog Rana arvalis,Journal of Applied Ecology,38,628-636,0,0,1,0,NA
WOS,M. S. Koch,2001,"Sulfide as a phytotoxin to the tropical seagrass Thalassia testudinum: interactions with light, salinity and temperature",Journal of Experimental Marine Biology and Ecology,266,81-95,0,0,1,0,NA
WOS,C. R. Tobias,2001,Nitrogen cycling through a fringing marsh-aquifer ecotone,Marine Ecology Progress Series,210,25-39,0,0,1,0,NA
WOS,S. Alutoin,2001,Effects of the multiple stressors copper and reduced salinity on the metabolism of the hermatypic coral Porites lutea,Marine Environmental Research,52,289-299,1,0,1,0,NA
WOS,J. T. Cronin,2001,Goldenrod stem galler preference and performance: effects of multiple herbivores and plant genotypes,Oecologia,127,87-96,0,1,0,0,NA
Scopus,"Hill, R., Smyth, D., Shipton, H., Fischer, P.",2001,"Cattle, mining or fire? The historical causes of recent contractions of open forest in the wet tropics of Queensland through invasion by rainforest",Pacific Conservation Biology,7,185-194,0,0,1,0,NA
Scopus,"Rahbek, C., Graves, G.R.",2001,Multiscale assessment of patterns of avian species richness,Proceedings of the National Academy of Sciences,98,4534-4539,0,0,1,0,NA
WOS,S. I. Fedorenko,2001,Tolerance of birch stands of the northern Transural forest steppe to abiotic and biotic stress factors,Russian Journal of Ecology,32,432-436,0,1,0,0,NA
WOS,J. B. C. Jackson,2001,Historical overfishing and the recent collapse of coastal ecosystems,Science,293,629-638,0,0,1,0,NA
Scopus,"Brown, K., Ekoko, F.",2001,Forest encounters: Synergy among agents of forest change in southern Cameroon,Society and Natural Resources,14,269-290,0,0,1,1,NA
