id,antagonism,additive,synergy,not_tested,glm_interactions,null model,other
522,0,0,1,1,0,0,0
523,0,1,1,0,1,0,0
524,1,1,1,0,0,0,1
526,1,1,1,0,1,0,0
527,0,0,1,1,0,0,0
529,0,0,1,1,0,0,0
531,0,0,1,1,0,0,0
532,1,0,1,1,0,0,0
533,0,0,1,1,0,0,0
534,0,0,1,0,0,1,0
535,1,0,1,0,1,1,0
536,0,1,0,0,0,1,0
537,0,0,1,0,0,0,1
538,0,1,0,0,0,1,0
539,0,0,1,0,1,0,0
